CUSTOMER_PLACE_ORDER_DATETIME,PLACED_ORDER_WITH_RESTAURANT_DATETIME,DRIVER_AT_RESTAURANT_DATETIME,DELIVERED_TO_CUSTOMER_DATETIME,DRIVER_ID,RESTAURANT_ID,CUSTOMER_ID,DELIVERY_REGION,IS_ASAP,ORDER_TOTAL,DISCOUNT_AMOUNT,TIP_AMOUNT,REFUNDED_AMOUNT
9/12/2024 17:37:37,9/12/2024 17:37:37,9/12/2024 17:42:02,9/12/2024 17:55:03,24676942,11000,366146770,San Francisco,TRUE,$26.58,$0.00,$4.00,$0.00
9/13/2024 0:57:38,9/13/2024 0:57:38,9/13/2024 1:18:25,9/13/2024 1:39:06,15592633,11000,382013153,San Francisco,TRUE,$46.01,$3.00,$7.50,$0.00
9/13/2024 0:48:16,9/13/2024 0:48:16,9/13/2024 0:57:18,9/13/2024 1:26:59,33615897,11000,919577587,San Francisco,TRUE,$41.01,$1.50,$4.50,$0.00
9/13/2024 3:46:24,9/13/2024 3:46:25,9/13/2024 3:55:07,9/13/2024 4:09:31,36468646,11000,49852607,San Francisco,TRUE,$31.98,$0.00,$4.00,$0.00
9/13/2024 2:14:39,9/13/2024 2:14:40,9/13/2024 2:23:19,9/13/2024 2:31:34,36121428,11000,12372131,San Francisco,TRUE,$34.52,$2.50,$4.50,$0.00
9/15/2024 3:39:52,9/15/2024 3:39:52,9/15/2024 3:46:49,9/15/2024 4:23:08,21717225,11000,1510408875,San Francisco,TRUE,$40.71,$5.00,$8.00,$0.00
9/15/2024 1:12:07,9/15/2024 1:12:07,9/15/2024 1:20:02,9/15/2024 1:29:13,34603776,11000,377683955,San Francisco,TRUE,$48.00,$0.00,$5.50,$0.00
9/15/2024 3:25:16,9/15/2024 3:25:16,9/15/2024 3:42:59,9/15/2024 3:56:07,29231673,11000,12995354,San Francisco,TRUE,$30.33,$0.00,$0.00,$0.00
9/14/2024 20:08:31,9/14/2024 20:08:31,9/14/2024 21:12:30,9/14/2024 21:40:44,17108320,11000,486477465,San Francisco,TRUE,$37.51,$0.00,$0.00,$0.00
9/15/2024 2:52:48,9/15/2024 2:52:48,9/15/2024 3:08:36,9/15/2024 3:24:32,28135166,11000,1862870416,San Francisco,TRUE,$9.12,$3.99,$0.00,$0.00
9/14/2024 20:22:17,9/14/2024 20:22:17,9/14/2024 20:34:30,9/14/2024 20:45:15,36710997,11000,910163690,San Francisco,TRUE,$29.59,$0.00,$4.50,$0.00
9/15/2024 1:40:29,9/15/2024 1:40:29,9/15/2024 1:48:52,9/15/2024 1:54:10,12469476,11000,366062593,San Francisco,TRUE,$17.71,$4.69,$3.00,$0.00
9/14/2024 18:39:11,9/14/2024 18:39:11,9/14/2024 19:05:58,9/14/2024 19:15:56,32444454,11000,22958146,San Francisco,TRUE,$32.27,$0.00,$4.50,$0.00
